[pods] 2022/02/02 12:41:51.168994 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: prometheus-k8s-0 IP: 10.1.0.152
[pods] 2022/02/02 12:41:51.169315 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: prometheus-operator-5c5db79546-wqjq8 IP: 10.1.0.142
[pods] 2022/02/02 12:41:51.169463 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-apiserver-757484bd95-4wbrr IP: 10.1.0.159
[pods] 2022/02/02 12:41:51.169536 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-console-65f4d44d88-tsx6f IP: 10.1.0.137
[pods] 2022/02/02 12:41:51.169781 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-controller-manager-6677dc75d-87psd IP: 10.1.0.160
[pods] 2022/02/02 12:41:51.169853 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-installer-b5c8dccc5-zr4ts IP: 10.1.0.153
[pods] 2022/02/02 12:41:51.169971 获取namespace openebs指定POD信息成功, pod名称: openebs-localpv-provisioner-6756f57d65-2vwh4 IP: 10.1.0.138
[pods] 2022/02/02 12:41:51.170038 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-67xf7 IP: 192.168.65.4
[pods] 2022/02/02 12:41:51.170142 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-cluster-exporter-5c985f8b77-cvrd4 IP: 10.1.0.141
[pods] 2022/02/02 12:41:51.170205 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-node-exporter-w5dg8 IP: 10.1.0.136
[pods] 2022/02/02 12:41:51.170272 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-operator-9bdd87f58-kr7rx IP: 10.1.0.147
[pods] 2022/02/02 12:43:19.356424 获取namespace ambassador指定POD信息成功, pod名称: traffic-manager-5cb99c9fd6-87nxm IP: 10.1.0.156
[pods] 2022/02/02 12:43:19.356563 获取namespace kube-system指定POD信息成功, pod名称: coredns-558bd4d5db-cw8df IP: 10.1.0.143
[pods] 2022/02/02 12:43:19.356574 获取namespace kube-system指定POD信息成功, pod名称: coredns-558bd4d5db-fj7jd IP: 10.1.0.146
[pods] 2022/02/02 12:43:19.356582 获取namespace kube-system指定POD信息成功, pod名称: etcd-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:43:19.356589 获取namespace kube-system指定POD信息成功, pod名称: kube-apiserver-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:43:19.356597 获取namespace kube-system指定POD信息成功, pod名称: kube-controller-manager-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:43:19.356704 获取namespace kube-system指定POD信息成功, pod名称: kube-proxy-7gwzb IP: 192.168.65.4
[pods] 2022/02/02 12:43:19.356720 获取namespace kube-system指定POD信息成功, pod名称: kube-scheduler-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:43:19.356729 获取namespace kube-system指定POD信息成功, pod名称: snapshot-controller-0 IP: 10.1.0.145
[pods] 2022/02/02 12:43:19.356737 获取namespace kube-system指定POD信息成功, pod名称: storage-provisioner IP: 10.1.0.140
[pods] 2022/02/02 12:43:19.356744 获取namespace kube-system指定POD信息成功, pod名称: vpnkit-controller IP: 10.1.0.144
[pods] 2022/02/02 12:43:19.356756 获取namespace kubesphere-controls-system指定POD信息成功, pod名称: default-http-backend-5bf68ff9b8-pxksq IP: 10.1.0.157
[pods] 2022/02/02 12:43:19.356939 获取namespace kubesphere-controls-system指定POD信息成功, pod名称: kubectl-admin-6667774bb-rlwx9 IP: 10.1.0.151
[pods] 2022/02/02 12:43:19.356958 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: alertmanager-main-0 IP: 10.1.0.150
[pods] 2022/02/02 12:43:19.356967 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: kube-state-metrics-5547ddd4cc-r77hd IP: 10.1.0.139
[pods] 2022/02/02 12:43:19.356975 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: node-exporter-v4qj4 IP: 192.168.65.4
[pods] 2022/02/02 12:43:19.356986 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: notification-manager-deployment-78664576cb-6z664 IP: 10.1.0.149
[pods] 2022/02/02 12:43:19.357202 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: notification-manager-operator-7d44854f54-26sc9 IP: 10.1.0.155
[pods] 2022/02/02 12:43:19.357219 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: prometheus-k8s-0 IP: 10.1.0.152
[pods] 2022/02/02 12:43:19.357228 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: prometheus-operator-5c5db79546-wqjq8 IP: 10.1.0.142
[pods] 2022/02/02 12:43:19.357235 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-apiserver-757484bd95-4wbrr IP: 10.1.0.159
[pods] 2022/02/02 12:43:19.357335 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-console-65f4d44d88-tsx6f IP: 10.1.0.137
[pods] 2022/02/02 12:43:19.357353 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-controller-manager-6677dc75d-87psd IP: 10.1.0.160
[pods] 2022/02/02 12:43:19.357362 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-installer-b5c8dccc5-zr4ts IP: 10.1.0.153
[pods] 2022/02/02 12:43:19.357370 获取namespace openebs指定POD信息成功, pod名称: openebs-localpv-provisioner-6756f57d65-2vwh4 IP: 10.1.0.138
[pods] 2022/02/02 12:43:19.357377 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-67xf7 IP: 192.168.65.4
[pods] 2022/02/02 12:43:19.357384 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-cluster-exporter-5c985f8b77-cvrd4 IP: 10.1.0.141
[pods] 2022/02/02 12:43:19.357408 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-node-exporter-w5dg8 IP: 10.1.0.136
[pods] 2022/02/02 12:43:19.357417 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-operator-9bdd87f58-kr7rx IP: 10.1.0.147
[pods] 2022/02/02 12:44:48.678422 获取namespace ambassador指定POD信息成功, pod名称: traffic-manager-5cb99c9fd6-87nxm IP: 10.1.0.156
[pods] 2022/02/02 12:44:48.678560 获取namespace kube-system指定POD信息成功, pod名称: coredns-558bd4d5db-cw8df IP: 10.1.0.143
[pods] 2022/02/02 12:44:48.678574 获取namespace kube-system指定POD信息成功, pod名称: coredns-558bd4d5db-fj7jd IP: 10.1.0.146
[pods] 2022/02/02 12:44:48.678584 获取namespace kube-system指定POD信息成功, pod名称: etcd-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:44:48.678594 获取namespace kube-system指定POD信息成功, pod名称: kube-apiserver-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:44:48.678603 获取namespace kube-system指定POD信息成功, pod名称: kube-controller-manager-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:44:48.678909 获取namespace kube-system指定POD信息成功, pod名称: kube-proxy-7gwzb IP: 192.168.65.4
[pods] 2022/02/02 12:44:48.678928 获取namespace kube-system指定POD信息成功, pod名称: kube-scheduler-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:44:48.678939 获取namespace kube-system指定POD信息成功, pod名称: snapshot-controller-0 IP: 10.1.0.145
[pods] 2022/02/02 12:44:48.678949 获取namespace kube-system指定POD信息成功, pod名称: storage-provisioner IP: 10.1.0.140
[pods] 2022/02/02 12:44:48.678959 获取namespace kube-system指定POD信息成功, pod名称: vpnkit-controller IP: 10.1.0.144
[pods] 2022/02/02 12:44:48.678991 获取namespace kubesphere-controls-system指定POD信息成功, pod名称: default-http-backend-5bf68ff9b8-pxksq IP: 10.1.0.157
[pods] 2022/02/02 12:44:48.679001 获取namespace kubesphere-controls-system指定POD信息成功, pod名称: kubectl-admin-6667774bb-rlwx9 IP: 10.1.0.151
[pods] 2022/02/02 12:44:48.679027 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: alertmanager-main-0 IP: 10.1.0.150
[pods] 2022/02/02 12:44:48.679057 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: kube-state-metrics-5547ddd4cc-r77hd IP: 10.1.0.139
[pods] 2022/02/02 12:44:48.679066 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: node-exporter-v4qj4 IP: 192.168.65.4
[pods] 2022/02/02 12:44:48.679076 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: notification-manager-deployment-78664576cb-6z664 IP: 10.1.0.149
